ID	DOCULECT	CONCEPT	VALUE	FORM	SEGMENTS	COGID	COGIDS	NOTE
10507	Cinta-Larga	NOMINALIZER AGENTIVE				0		
10632	Gavião	NOMINALIZER AGENTIVE				0		
10745	Monde	NOMINALIZER AGENTIVE				0		
11340	Zoro	NOMINALIZER AGENTIVE				0		
11459	Surui-Paiter	NOMINALIZER AGENTIVE				0		
11580	Karitiana	NOMINALIZER AGENTIVE				0		
11697	Arikem	NOMINALIZER AGENTIVE				0		
11816	Mawe	NOMINALIZER AGENTIVE	hat	hat	h a t	10	275	
11938	Awetí	NOMINALIZER AGENTIVE				0		
12054	Asuriní Tocantins	NOMINALIZER AGENTIVE	ar	ar	a r	10	275	
12173	Parakana	NOMINALIZER AGENTIVE				0		
12292	Surui-Aikewara	NOMINALIZER AGENTIVE				0		
12411	Tapirapé	NOMINALIZER AGENTIVE	ãr	ãr	ã r	10	275	
12530	Tembe	NOMINALIZER AGENTIVE	hár	(h)ár	h á r	10	275	
12649	Guajajara	NOMINALIZER AGENTIVE	ar	ar	a r	10	275	
12768	Apiaka	NOMINALIZER AGENTIVE				0		
13006	Amondawa	NOMINALIZER AGENTIVE				0		
13125	Tenharim	NOMINALIZER AGENTIVE				0		
13244	Jiahoi	NOMINALIZER AGENTIVE				0		
13482	Urueuwauwau	NOMINALIZER AGENTIVE				0		
13720	Kayabi	NOMINALIZER AGENTIVE	ar	ar	a r	10	275	
13841	Araweté	NOMINALIZER AGENTIVE				0		
13935	Araweté	NOMINALIZER AGENTIVE	ha	ha	h a	10	275	
14086	Guajá	NOMINALIZER AGENTIVE	(a)há	(a)há	a h á	10	275	
14315	Teko	NOMINALIZER AGENTIVE	har	har	h a r	10	275	
14385	Teko	NOMINALIZER AGENTIVE	har	har	h a r	10	275	
14434	Wayampi	NOMINALIZER AGENTIVE	ar	ar	a r	10	275	
14553	Zo'e	NOMINALIZER AGENTIVE				0		
14672	Ka'apor	NOMINALIZER AGENTIVE	har	har	h a r	10	275	
14791	Anambe	NOMINALIZER AGENTIVE				0		
14861	Anambe	NOMINALIZER AGENTIVE	hã	hã	h ã	10	275	
15029	Kamajura	NOMINALIZER AGENTIVE	ar	ar	a r	10	275	
15148	Asuriní Xingu	NOMINALIZER AGENTIVE				0		
15267	Tupinambá	NOMINALIZER AGENTIVE	sara	sara	s a r a	10	275	
15386	Nheengatu	NOMINALIZER AGENTIVE				0		
15624	Yuki	NOMINALIZER AGENTIVE	ja	ja	j a	415	3	both intransitive and transitive
15743	Guarayo	NOMINALIZER AGENTIVE	ar	ar	a r	10	275	
15862	Siriono	NOMINALIZER AGENTIVE				0		
15981	Warazu	NOMINALIZER AGENTIVE				0		
16100	Chiriguano	NOMINALIZER AGENTIVE	a	a	a	10	275	
16338	Mbya	NOMINALIZER AGENTIVE	ar	ar	a r	10	275	
16457	Guaraní	NOMINALIZER AGENTIVE				0		
16576	Old Guaraní	NOMINALIZER AGENTIVE	hara	hara	h a r a	10	275	
16695	Ache	NOMINALIZER AGENTIVE				0		
16814	Xeta	NOMINALIZER AGENTIVE				0		
16933	Kaiowa	NOMINALIZER AGENTIVE	har	har	h a r	10	275	
17052	Ñandeva	NOMINALIZER AGENTIVE				0		
17171	Apapokuva	NOMINALIZER AGENTIVE				0		
17294	Omagua	NOMINALIZER AGENTIVE				0		
17409	Kokama	NOMINALIZER AGENTIVE				0		
17479	Kokama	NOMINALIZER AGENTIVE	wara	wara / tsurin	w a r a	10	275	
17578	Avá Canoeiro	NOMINALIZER AGENTIVE				0		
17675	Surui-Paiter	NOMINALIZER AGENTIVE				0		
17834	Tapiete	NOMINALIZER AGENTIVE				0		
18001	Awetí	NOMINALIZER AGENTIVE	at	at	a t	10	275	
18407	Omagua	NOMINALIZER AGENTIVE	tara	tara	t a r a	10	275	Transitive
19164	Guarayo	NOMINALIZER AGENTIVE	car	car	k a r	10	275	
19165	Guajajara	NOMINALIZER AGENTIVE	har	har	h a r	10	275	
19166	Parintintin	NOMINALIZER AGENTIVE	har	har	h a r	10	275	
19167	Asuriní Tocantins	NOMINALIZER AGENTIVE	tar	tar	t a r	10	275	
19168	Tupinambá	NOMINALIZER AGENTIVE	tar	tar	t a r	10	275	
19169	Kamajura	NOMINALIZER AGENTIVE	tar	tar	t a r	10	275	
19170	Old Guaraní	NOMINALIZER AGENTIVE	tar	tar	t a r	10	275	
8961	Xipaya	ALLATIVE				0		
9080	Juruna	ALLATIVE				0		
9199	Karo	ALLATIVE				0		
9318	Purubora	ALLATIVE				0		
9675	Makurap	ALLATIVE	mõ	mõ	m õ	71	282	
9794	Wayoro	ALLATIVE	mõ	(m)õ	m õ	71	282	
9913	Tupari	ALLATIVE	mo	(m)o	m o	71	282	
10032	Akuntsu	ALLATIVE	bõ	(b)õ	b õ	71	282	
10153	Mekens	ALLATIVE	bõ	(b)õ	b õ	71	282	
10270	Mundurukú	ALLATIVE	kaj	kaj / ma	k ai	124	281	
10508	Cinta-Larga	ALLATIVE				0		
10633	Gavião	ALLATIVE				0		
10746	Monde	ALLATIVE				0		
11341	Zoro	ALLATIVE				0		
11460	Surui-Paiter	ALLATIVE				0		
11581	Karitiana	ALLATIVE				0		
11698	Arikem	ALLATIVE				0		
11817	Mawe	ALLATIVE	kape	kape	k a p e	124	281	
11939	Awetí	ALLATIVE				0		
12055	Asuriní Tocantins	ALLATIVE				0		
12174	Parakana	ALLATIVE				0		
12293	Surui-Aikewara	ALLATIVE				0		
12412	Tapirapé	ALLATIVE				0		
12531	Tembe	ALLATIVE	kutɨr	kutɨr	k u t ɨ r	121	283	
12650	Guajajara	ALLATIVE				0		
12769	Apiaka	ALLATIVE				0		
12888	Parintintin	ALLATIVE				0		
13007	Amondawa	ALLATIVE				0		
13126	Tenharim	ALLATIVE				0		
13245	Jiahoi	ALLATIVE				0		
13483	Urueuwauwau	ALLATIVE				0		
13721	Kayabi	ALLATIVE				0		
13842	Araweté	ALLATIVE				0		
14078	Guajá	ALLATIVE	kɨtɨrɨ	kɨtɨrɨ	k ɨ t ɨ r ɨ	121	283	
14316	Teko	ALLATIVE				0		
14435	Wayampi	ALLATIVE				0		
14554	Zo'e	ALLATIVE				0		
14673	Ka'apor	ALLATIVE	ka	ka / (b)õ	k a	124	281	
14792	Anambe	ALLATIVE				0		
15030	Kamajura	ALLATIVE				0		
15149	Asuriní Xingu	ALLATIVE				0		
15387	Nheengatu	ALLATIVE	kiti	kiti	k i t i	121	283	
15625	Yuki	ALLATIVE				0		
15744	Guarayo	ALLATIVE				0		
15863	Siriono	ALLATIVE				0		
15982	Warazu	ALLATIVE				0		
16101	Chiriguano	ALLATIVE				0		
16339	Mbya	ALLATIVE				0		
16458	Guaraní	ALLATIVE				0		
16577	Old Guaraní	ALLATIVE				0		
16696	Ache	ALLATIVE				0		
16815	Xeta	ALLATIVE				0		
16934	Kaiowa	ALLATIVE				0		
17053	Ñandeva	ALLATIVE				0		
17172	Apapokuva	ALLATIVE				0		
17295	Omagua	ALLATIVE	kati	kati	k a t i	121	283	
17410	Kokama	ALLATIVE	ka	ka	k a	124	281	
17549	Avá Canoeiro	ALLATIVE	wati	wati	w a t i	121	283	
17676	Surui-Paiter	ALLATIVE				0		
17783	Tapiete	ALLATIVE	re	re	r e	219	284	directional
18289	Karitiana	ALLATIVE	kɨn	kɨn	k ɨ n	194	200	
18659	Ka'apor	ALLATIVE	bõ	ka / (b)õ	õ	71	282	
18731	Mundurukú	ALLATIVE	ma	kaj / ma	m a	71	282	
8962	Xipaya	ALSO				0		
9081	Juruna	ALSO				0		
9200	Karo	ALSO				0		
9319	Purubora	ALSO				0		
9676	Makurap	ALSO	wetkup	wetkup	w e t k u p	83	11	
9795	Wayoro	ALSO	nengan	nengan	n e n g a n	22	49	
9914	Tupari	ALSO	ke	ke  / eporet	k e	84	13	
10033	Akuntsu	ALSO	emo	emo	e m o	72	6	
10154	Mekens	ALSO	tekwaemo	tekwaemo	t e kʷ a + e m o	72	8 6	
10271	Mundurukú	ALSO	dak	dak	d a k	110	287	
10509	Cinta-Larga	ALSO				0		
10634	Gavião	ALSO				0		
10747	Monde	ALSO				0		
11342	Zoro	ALSO				0		
11461	Surui-Paiter	ALSO				0		
11582	Karitiana	ALSO				0		
11699	Arikem	ALSO				0		
11818	Mawe	ALSO	hawɨi	hawɨi / wɨ	h a w ɨi	26	286	
11940	Awetí	ALSO				0		
12056	Asuriní Tocantins	ALSO				0		
12175	Parakana	ALSO				0		
12294	Surui-Aikewara	ALSO				0		
12413	Tapirapé	ALSO				0		
12651	Guajajara	ALSO				0		
12770	Apiaka	ALSO				0		
12889	Parintintin	ALSO				0		
13008	Amondawa	ALSO				0		
13127	Tenharim	ALSO				0		
13246	Jiahoi	ALSO				0		
13484	Urueuwauwau	ALSO				0		
13722	Kayabi	ALSO				0		
13843	Araweté	ALSO				0		
14317	Teko	ALSO				0		
14436	Wayampi	ALSO				0		
14555	Zo'e	ALSO				0		
14674	Ka'apor	ALSO	tĩ	tĩ	t ĩ	122	320	
14793	Anambe	ALSO				0		
15031	Kamajura	ALSO				0		
15150	Asuriní Xingu	ALSO				0		
15269	Tupinambá	ALSO	βé	βé	β é	5	272	
15388	Nheengatu	ALSO				0		
15626	Yuki	ALSO				0		
15745	Guarayo	ALSO				0		
15864	Siriono	ALSO				0		
15983	Warazu	ALSO				0		
16102	Chiriguano	ALSO				0		
16340	Mbya	ALSO				0		
16459	Guaraní	ALSO				0		
16578	Old Guaraní	ALSO				0		
16697	Ache	ALSO				0		
16816	Xeta	ALSO				0		
16935	Kaiowa	ALSO				0		
17054	Ñandeva	ALSO				0		
17173	Apapokuva	ALSO				0		
17296	Omagua	ALSO				0		
17411	Kokama	ALSO				0		
17579	Avá Canoeiro	ALSO				0		
17677	Surui-Paiter	ALSO				0		
17794	Tapiete	ALSO	we	we	w e	5	272	
18646	Tupari	ALSO	eporet	ke / eporet	e p o r e t	85	12	
18792	Mawe	ALSO	wɨ	hawɨi / wɨ	w ɨ	26	286	
8963	Xipaya	ALWAYS				0		
9082	Juruna	ALWAYS				0		
9201	Karo	ALWAYS				0		
9320	Purubora	ALWAYS				0		
9677	Makurap	ALWAYS	ɲeman	ɲeman	ɲ e m a n	221	15	
9915	Tupari	ALWAYS	saraerem	saraerem	s a r ae r e m	82	14	
10272	Mundurukú	ALWAYS	ʔuk	ʔuk	ʔ u k	109	271	
10510	Cinta-Larga	ALWAYS				0		
10635	Gavião	ALWAYS				0		
10748	Monde	ALWAYS				0		
11343	Zoro	ALWAYS				0		
11462	Surui-Paiter	ALWAYS				0		
11583	Karitiana	ALWAYS				0		
11700	Arikem	ALWAYS				0		
11819	Mawe	ALWAYS				0		
11941	Awetí	ALWAYS				0		
12057	Asuriní Tocantins	ALWAYS				0		
12176	Parakana	ALWAYS				0		
12295	Surui-Aikewara	ALWAYS				0		
12414	Tapirapé	ALWAYS				0		
12533	Tembe	ALWAYS				0		
12652	Guajajara	ALWAYS				0		
12771	Apiaka	ALWAYS				0		
12890	Parintintin	ALWAYS				0		
13009	Amondawa	ALWAYS				0		
13128	Tenharim	ALWAYS				0		
13247	Jiahoi	ALWAYS				0		
13485	Urueuwauwau	ALWAYS				0		
13723	Kayabi	ALWAYS				0		
13844	Araweté	ALWAYS				0		
14080	Guajá	ALWAYS	apopaj	apopaj	a p o p ai	338	183	
14318	Teko	ALWAYS				0		
14437	Wayampi	ALWAYS				0		
14556	Zo'e	ALWAYS				0		
14675	Ka'apor	ALWAYS				0		
14794	Anambe	ALWAYS				0		
15032	Kamajura	ALWAYS				0		
15151	Asuriní Xingu	ALWAYS				0		
15270	Tupinambá	ALWAYS	memẽ	memẽ	m e m ẽ	86	269	
15389	Nheengatu	ALWAYS				0		
15627	Yuki	ALWAYS				0		
15746	Guarayo	ALWAYS				0		
15865	Siriono	ALWAYS				0		
15984	Warazu	ALWAYS				0		
16103	Chiriguano	ALWAYS				0		
16341	Mbya	ALWAYS				0		
16460	Guaraní	ALWAYS				0		
16579	Old Guaraní	ALWAYS				0		
16698	Ache	ALWAYS				0		
16817	Xeta	ALWAYS				0		
16936	Kaiowa	ALWAYS				0		
17055	Ñandeva	ALWAYS				0		
17174	Apapokuva	ALWAYS				0		
17297	Omagua	ALWAYS				0		
17412	Kokama	ALWAYS				0		
17580	Avá Canoeiro	ALWAYS				0		
17678	Surui-Paiter	ALWAYS				0		
17796	Tapiete	ALWAYS	jepi	jepi	j e p i	160	270	
8964	Xipaya	ATENUATIVE				0		
9083	Juruna	ATENUATIVE				0		
9202	Karo	ATENUATIVE				0		
9321	Purubora	ATENUATIVE				0		
9678	Makurap	ATENUATIVE	i	i	i	73	16	
9797	Wayoro	ATENUATIVE	nin	nin	n i n	73	16	
9916	Tupari	ATENUATIVE	kutʔa	kutʔa	k u t ʔ a	87	17	
10035	Akuntsu	ATENUATIVE	tin	tin	t i n	73	16	
10160	Mekens	ATENUATIVE	sĩĩt	sĩĩt	s ĩĩ t	73	16	
10273	Mundurukú	ATENUATIVE				0		
10511	Cinta-Larga	ATENUATIVE				0		
10641	Gavião	ATENUATIVE				0		
10749	Monde	ATENUATIVE				0		
11344	Zoro	ATENUATIVE				0		
11463	Surui-Paiter	ATENUATIVE				0		
11588	Karitiana	ATENUATIVE				0		
11701	Arikem	ATENUATIVE				0		
11820	Mawe	ATENUATIVE				0		
11947	Awetí	ATENUATIVE				0		
12058	Asuriní Tocantins	ATENUATIVE				0		
12177	Parakana	ATENUATIVE				0		
12296	Surui-Aikewara	ATENUATIVE				0		
12415	Tapirapé	ATENUATIVE				0		
12534	Tembe	ATENUATIVE	aʔi	aʔi	a ʔ i	339	442	
12653	Guajajara	ATENUATIVE				0		
12772	Apiaka	ATENUATIVE				0		
12891	Parintintin	ATENUATIVE				0		
13010	Amondawa	ATENUATIVE				0		
13129	Tenharim	ATENUATIVE				0		
13248	Jiahoi	ATENUATIVE				0		
13486	Urueuwauwau	ATENUATIVE				0		
13724	Kayabi	ATENUATIVE				0		
13848	Araweté	ATENUATIVE	ʔɨ	ʔɨ	ʔ ɨ	339	184	
14081	Guajá	ATENUATIVE	(a)ʔĩ	(a)ʔĩ / ãi	a ʔ ĩ	339	184	
14319	Teko	ATENUATIVE				0		
14438	Wayampi	ATENUATIVE				0		
14557	Zo'e	ATENUATIVE				0		
14676	Ka'apor	ATENUATIVE				0		
14795	Anambe	ATENUATIVE				0		
15033	Kamajura	ATENUATIVE				0		
15152	Asuriní Xingu	ATENUATIVE				0		
15271	Tupinambá	ATENUATIVE				0		
15390	Nheengatu	ATENUATIVE				0		
15628	Yuki	ATENUATIVE				0		
15747	Guarayo	ATENUATIVE				0		
15866	Siriono	ATENUATIVE				0		
15985	Warazu	ATENUATIVE				0		
16104	Chiriguano	ATENUATIVE				0		
16342	Mbya	ATENUATIVE				0		
16461	Guaraní	ATENUATIVE				0		
16580	Old Guaraní	ATENUATIVE				0		
16699	Ache	ATENUATIVE				0		
16818	Xeta	ATENUATIVE				0		
16937	Kaiowa	ATENUATIVE				0		
17056	Ñandeva	ATENUATIVE				0		
17175	Apapokuva	ATENUATIVE				0		
17303	Omagua	ATENUATIVE				0		
17413	Kokama	ATENUATIVE				0		
17531	Avá Canoeiro	ATENUATIVE	mili	mili	m i l i	165	262	
17679	Surui-Paiter	ATENUATIVE				0		
17835	Tapiete	ATENUATIVE				0		
19049	Guajá	ATENUATIVE	ãi	(a)ʔĩ / ãi	ãi	339	184	
8965	Xipaya	AUGMENTATIVE / BIG				0		
9084	Juruna	AUGMENTATIVE / BIG				0		
9203	Karo	AUGMENTATIVE / BIG				0		
9322	Purubora	AUGMENTATIVE / BIG				0		
9679	Makurap	AUGMENTATIVE / BIG	tʃato	tʃato	tʃ a t o	74	18	
9798	Wayoro	AUGMENTATIVE / BIG	akara	akara	a k a r a	257	98	
9917	Tupari	AUGMENTATIVE / BIG	erat	erat	e r a t	256	97	
10036	Akuntsu	AUGMENTATIVE / BIG	atʃo	atʃo	a tʃ o	74	18	
10161	Mekens	AUGMENTATIVE / BIG	aso	aso	a s o	74	18	
10274	Mundurukú	AUGMENTATIVE / BIG	ʃiri	ʃiri	ʃ i r i	418	291	
10512	Cinta-Larga	AUGMENTATIVE / BIG				0		
10642	Gavião	AUGMENTATIVE / BIG	póoj	póoj	p óo j	166	288	
10750	Monde	AUGMENTATIVE / BIG				0		
11345	Zoro	AUGMENTATIVE / BIG				0		
11464	Surui-Paiter	AUGMENTATIVE / BIG				0		
11589	Karitiana	AUGMENTATIVE / BIG				0		
11702	Arikem	AUGMENTATIVE / BIG				0		
11821	Mawe	AUGMENTATIVE / BIG				0		
11949	Awetí	AUGMENTATIVE / BIG	watu	watu	w a t u	74	18	
12059	Asuriní Tocantins	AUGMENTATIVE / BIG	oho	oho	o h o	340	185	
12178	Parakana	AUGMENTATIVE / BIG				0		
12297	Surui-Aikewara	AUGMENTATIVE / BIG				0		
12416	Tapirapé	AUGMENTATIVE / BIG	o	o	o	340	185	
12535	Tembe	AUGMENTATIVE / BIG	uhú	uhú / aʔú	u h ú	340	185	
12654	Guajajara	AUGMENTATIVE / BIG	wahu	wahu / hu	w a h u	74	18	
12773	Apiaka	AUGMENTATIVE / BIG				0		
12892	Parintintin	AUGMENTATIVE / BIG	hu	hu / uhu	h u	340	185	
13011	Amondawa	AUGMENTATIVE / BIG				0		
13130	Tenharim	AUGMENTATIVE / BIG				0		
13249	Jiahoi	AUGMENTATIVE / BIG				0		
13487	Urueuwauwau	AUGMENTATIVE / BIG				0		
13725	Kayabi	AUGMENTATIVE / BIG	uu	uu	uu	340	185	
13849	Araweté	AUGMENTATIVE / BIG				0		
14082	Guajá	AUGMENTATIVE / BIG	hu	hu / hɨ	h u	340	185	
14320	Teko	AUGMENTATIVE / BIG				0		
14439	Wayampi	AUGMENTATIVE / BIG	wasu	u / wasu	w a s u	74	18	
14558	Zo'e	AUGMENTATIVE / BIG				0		
14677	Ka'apor	AUGMENTATIVE / BIG	keruhu	keruhu	k e r + u h u	112	5 185	
14796	Anambe	AUGMENTATIVE / BIG				0		
15034	Kamajura	AUGMENTATIVE / BIG				0		
15153	Asuriní Xingu	AUGMENTATIVE / BIG				0		
15272	Tupinambá	AUGMENTATIVE / BIG	usu	usu / wasu	u s u	74	18	
15391	Nheengatu	AUGMENTATIVE / BIG				0		
15629	Yuki	AUGMENTATIVE / BIG	pi	pi	p i	419	293	
15748	Guarayo	AUGMENTATIVE / BIG	gʷasu	gʷasu	gʷ a s u	74	18	
15867	Siriono	AUGMENTATIVE / BIG				0		
15986	Warazu	AUGMENTATIVE / BIG				0		
16105	Chiriguano	AUGMENTATIVE / BIG	wasu	wasu	w a s u	74	18	
16343	Mbya	AUGMENTATIVE / BIG	wacu	wacu	w a c u	74	18	
16462	Guaraní	AUGMENTATIVE / BIG				0		
16581	Old Guaraní	AUGMENTATIVE / BIG	gʷasu	gʷasu / usu	gʷ a s u	74	18	
16700	Ache	AUGMENTATIVE / BIG				0		
16819	Xeta	AUGMENTATIVE / BIG				0		
16938	Kaiowa	AUGMENTATIVE / BIG	wasu	wasu	w a s u	74	18	
17057	Ñandeva	AUGMENTATIVE / BIG				0		
17176	Apapokuva	AUGMENTATIVE / BIG				0		
17304	Omagua	AUGMENTATIVE / BIG	wasu	wasu	w a s u	74	18	
17414	Kokama	AUGMENTATIVE / BIG	tu	tu / tua / watsu	t u	220	2	
17538	Avá Canoeiro	AUGMENTATIVE / BIG	uʁu	uʁu / u	u ʁ u	340	185	
17680	Surui-Paiter	AUGMENTATIVE / BIG				0		
17766	Tapiete	AUGMENTATIVE / BIG	kʷe	kʷe / wasu	kʷ e	167	292	
18726	Old Guaraní	AUGMENTATIVE / BIG	usu	gʷasu / usu	u s u	74	18	
18739	Avá Canoeiro	AUGMENTATIVE / BIG	u	uʁu / u	u	340	185	
19050	Guajá	AUGMENTATIVE / BIG	hɨ	hu / hɨ	h ɨ	340	185	
19080	Kokama	AUGMENTATIVE / BIG	tua	tu / tua / watsu	t ua	220	2	
19081	Kokama	AUGMENTATIVE / BIG	watsu	tu / tua / watsu	w a ts u	74	18	
19082	Tapiete	AUGMENTATIVE / BIG	wasu	kʷe / wasu	w a s u	74	18	
19217	Tupinambá	AUGMENTATIVE / BIG	wasu	usu / wasu	w a s u	74	18	
19218	Ka'apor	AUGMENTATIVE / BIG	wahu	wahu / uhu	w a h u	74	18	
19219	Ka'apor	AUGMENTATIVE / BIG	uhu	wahu / uhu	u h u	340	185	
19220	Parintintin	AUGMENTATIVE / BIG	uhu	hu / uhu	u h u	340	185	
19221	Wayampi	AUGMENTATIVE / BIG	u	u / wasu	u	340	185	
19222	Guajajara	AUGMENTATIVE / BIG	hu	wahu / hu	h u	340	185	
19257	Tembe	AUGMENTATIVE / BIG	aʔú	uhú / aʔú	a ʔ ú	340	185	
8967	Xipaya	CAUSATIVE				0		
9086	Juruna	CAUSATIVE				0		
9205	Karo	CAUSATIVE				0		
9324	Purubora	CAUSATIVE				0		
9681	Makurap	CAUSATIVE	mõ	mõ	m õ	365	211	
9800	Wayoro	CAUSATIVE	(m)õ	(m)õ	m õ	365	211	
9919	Tupari	CAUSATIVE	m	m / õ	m	365	211	
10038	Akuntsu	CAUSATIVE	(m)õ	(m)õ	m õ	365	211	
10163	Mekens	CAUSATIVE	mo	mo / õ	m o	365	211	
10276	Mundurukú	CAUSATIVE	mui	mui	m ui	365	211	
10514	Cinta-Larga	CAUSATIVE				0		
10644	Gavião	CAUSATIVE	ma	ma	m a	77	23	
10752	Monde	CAUSATIVE				0		
11347	Zoro	CAUSATIVE				0		
11466	Surui-Paiter	CAUSATIVE				0		
11591	Karitiana	CAUSATIVE	m	m	m	365	211	
11704	Arikem	CAUSATIVE				0		
11823	Mawe	CAUSATIVE	mo	mo / pot	m o	365	211	
11951	Awetí	CAUSATIVE	mo	mo	m o	365	211	
12061	Asuriní Tocantins	CAUSATIVE	mo	mo	m o	365	211	
12180	Parakana	CAUSATIVE				0		
12299	Surui-Aikewara	CAUSATIVE				0		
12418	Tapirapé	CAUSATIVE	ma	ma	m a	77	23	
12537	Tembe	CAUSATIVE	mu	mu	m u	365	211	
12656	Guajajara	CAUSATIVE	mu	mu	m u	365	211	
12775	Apiaka	CAUSATIVE				0		
12894	Parintintin	CAUSATIVE	mo	mo	m o	365	211	
13013	Amondawa	CAUSATIVE				0		
13132	Tenharim	CAUSATIVE				0		
13251	Jiahoi	CAUSATIVE				0		
13489	Urueuwauwau	CAUSATIVE				0		
13727	Kayabi	CAUSATIVE	mo	mo	m o	365	211	
13851	Araweté	CAUSATIVE	mu	mu / m	m u	365	211	
14084	Guajá	CAUSATIVE	mi	mi / ma / mõ	m i	341	186	
14441	Wayampi	CAUSATIVE	mo	mo	m o	365	211	
14560	Zo'e	CAUSATIVE				0		
14679	Ka'apor	CAUSATIVE	mu	mu	m u	365	211	
14798	Anambe	CAUSATIVE	mu	mu	m u	365	211	
15036	Kamajura	CAUSATIVE	mo	mo	m o	365	211	
15155	Asuriní Xingu	CAUSATIVE				0		
15274	Tupinambá	CAUSATIVE	mo	mo	m o	365	211	
15393	Nheengatu	CAUSATIVE				0		
15750	Guarayo	CAUSATIVE	mo	mo	m o	365	211	
15869	Siriono	CAUSATIVE				0		
15988	Warazu	CAUSATIVE				0		
16107	Chiriguano	CAUSATIVE	mo	mo	m o	365	211	
16345	Mbya	CAUSATIVE	mo	mo	m o	365	211	
16464	Guaraní	CAUSATIVE				0		
16583	Old Guaraní	CAUSATIVE	mo	mo	m o	365	211	
16702	Ache	CAUSATIVE				0		
16821	Xeta	CAUSATIVE				0		
16940	Kaiowa	CAUSATIVE				0		
17059	Ñandeva	CAUSATIVE				0		
17178	Apapokuva	CAUSATIVE				0		
17306	Omagua	CAUSATIVE	ta	ta	t a	426	303	
17416	Kokama	CAUSATIVE	ta	ta / mo	t a	426	303	
